year,censored_title,genres,rating
1967,× ×××× ××× ×××××××,WAR; WESTERN,5.4
1968,××××××× ×× ××××××,DRAMA; WAR; WESTERN,5.6
1970,××××××× ××××××××,COMEDY; DRAMA; ROMANCE,6.3
1973,×××××××× ××××××××,COMEDY; DRAMA,7.4
1974,××× ××××××××××××,CRIME; DRAMA; MYSTERY,7.7
1977,×××× ××××,SCIENCE FICTION; ACTION; ADVENTURE,8.6
1977,××××××,DRAMA; ROMANCE; WAR,6.1
1978,××××× ×× ×××× ××××××××,ADVENTURE; DRAMA; WAR,6.4
1979,××××××× ××××××,ACTION; ADVENTURE; DRAMA; ROMANCE; WAR,6.0
1979,×××××××××× ×××,DRAMA; WAR,8.4
1979,××× ×××××× ×××,ADVENTURE; COMEDY; DRAMA; WESTERN,6.3
1980,××× ×××××× ××××××× ××××,SCIENCE FICTION; ACTION; ADVENTURE,8.7
1981,××××××× ×× ××× ×××× ×××,ACTION; ADVENTURE,8.4
1982,××××× ××××××,SCIENCE FICTION; DRAMA; THRILLER,8.1
1983,×××××× ×× ××× ××××,SCIENCE FICTION; ACTION; ADVENTURE,8.3
1984,××××××× ××××× ××× ××× ×××××× ×× ××××,ACTION; ADVENTURE,7.5
1985,×××××××,CRIME; DRAMA; ROMANCE; THRILLER,7.4
1986,××× ×××××××× ×××××,ADVENTURE; DRAMA,6.6
1988,×××××××,CRIME; DRAMA; MYSTERY; THRILLER,6.8
1988,××××××× ××××,COMEDY; DRAMA; ROMANCE,6.8
1989,××××××× ××××× ××× ××× ×××× ×××××××,ACTION; ADVENTURE,8.2
1990,×××××××× ××××××××,CRIME; MYSTERY; THRILLER,6.9
1991,××××××××× ×××××,DRAMA; ROMANCE,6.7
1992,××××××× ×××××,ACTION; CRIME; DRAMA; THRILLER,6.8
1993,××× ××××××××,ACTION; DRAMA; THRILLER,7.8
1994,××××× ××× ××××××× ××××××,ACTION; DRAMA; THRILLER,6.9
1995,××× ××××××× ××× ××× ××××××,COMEDY,6.5
1995,×××××××,DRAMA; ROMANCE,6.3
1997,××× ×××××'× ×××,CRIME; DRAMA; THRILLER,6.2
1997,××× ××××× ×××,ACTION; THRILLER,6.5
1998,××× ×××× ××××× ××××××,ACTION; ADVENTURE; COMEDY; ROMANCE,5.9
1999,×××××× ××××××,DRAMA; ROMANCE; THRILLER,5.4
2000,×××× ×××× ×××××××,DRAMA; HORROR; MYSTERY; THRILLER,6.6
2002,×-××: ××× ××××××××××,DRAMA; HISTORY; MYSTERY; THRILLER; WAR,6.7
2003,××××××××× ××××××××,ACTION; ADVENTURE; COMEDY; THRILLER,5.3
2006,××××××××,ACTION; CRIME; THRILLER,5.8
2008,××××××× ××××× ××× ××× ××××××× ×× ××× ××××××× ×××××,ACTION; ADVENTURE,6.2
2009,×××××××× ××××,CRIME; DRAMA,6.7
2010,××××××××××××× ××××××××,DRAMA,6.4
2010,××××××× ×××××,COMEDY; DRAMA; ROMANCE,6.5
2011,××××××× & ××××××,SCIENCE FICTION; ACTION; THRILLER; WESTERN,6.0
2013,××,DRAMA,7.5
2013,××××××××,DRAMA; THRILLER,5.6
2013,×××××'× ××××,SCIENCE FICTION; ACTION; ADVENTURE,6.6
2013,××××××××× ×: ××× ×××××× ×××××××××,COMEDY,6.3
2014,××× ××××××××××× ×,ACTION; ADVENTURE; THRILLER,6.1
2015,××× ××× ×× ×××××××,DRAMA; FANTASY; ROMANCE,7.2
2015,×××× ××××: ××× ××××× ×××××××,SCIENCE FICTION; ACTION; ADVENTURE,7.8
2017,××××× ×××××× ××××,SCIENCE FICTION; DRAMA,8.0
2019,××× ×××××× ×××× ×× ×××× ×,ADVENTURE; ANIMATION; COMEDY; FAMILY,6.4
2020,××× ×××× ×× ××× ××××,ADVENTURE; DRAMA; FAMILY,6.7
2023,××××××× ××××× ××× ××× ×××× ×× ×××××××,ACTION; ADVENTURE,6.5
2025,××××××× ×××××××: ××××× ××× ×××××,SCIENCE FICTION; ACTION; THRILLER,5.8
